code,status,name,latitude,longitude,altitude,installation_height,timezone
TA00001,1,Lela Primary School,-1.1232833,34.3979917,1393.0,5.0,Africa/Nairobi
TA00002,1,Benso SHS,5.152566725,-1.881544448,86.1,2.0,Africa/Accra
TA00003,1,Prestea SHTS,5.4468564,-2.1339285,63.0,2.0,Africa/Accra
TA00004,1,Manso Amenfi NVTI,5.6432258,-2.2667477,104.0,2.0,Africa/Accra
TA00005,1,Asankragwa SHS,5.807730755,-2.426394513,125.1,2.0,Africa/Accra
TA00006,1,Nana Brentu SHTS Enchi,5.81130767,-2.825592113,117.7,2.0,Africa/Accra
TA00007,1,Nana Yaa Kesse SHS Duayaw Nkwanta,7.188272845,-2.097477035,341.1,2.0,Africa/Accra
TA00008,1,Sacred Heart SHS Nsoatre,7.412980163,-2.47606256,332.0,2.0,Africa/Accra
TA00009,1,Adehyeman SHS Amasu,7.22490549,-2.782208618,290.5,2.0,Africa/Accra
TA00010,1,Chiraa SHS,7.389594725,-2.185990558,337.1,2.0,Africa/Accra
TA00011,1,OLA Girls SS Kenyasi,6.98570472,-2.396092478,247.0,2.0,Africa/Accra
TA00012,1,Hwidiem SHS,6.936724763,-2.353980785,200.0,2.0,Africa/Accra
TA00013,1,Huni Valley SHS,5.469601043,-1.908533785,106.3,2.0,Africa/Accra
TA00014,1,Juaboso SHS,6.345286778,-2.826350268,198.7,2.0,Africa/Accra
TA00015,1,Bia SHTS Debiso,6.665102573,-3.097144795,200.4,2.0,Africa/Accra
TA00016,1,"Accra Academy School, Accra",5.573103555,-0.244500082,32.4,2.0,Africa/Accra
TA00018,1,Koyoo Secondary School,-0.5820111,34.6072611,1411.9,2.0,Africa/Nairobi
TA00019,1,Osodo Secondary School,-0.5241139,34.2556472,1281.0,2.0,Africa/Nairobi
TA00020,1,Woodlands 2000 Trust,-1.6533556,36.8623972,1643.0,2.0,Africa/Nairobi
TA00021,1,Kipsombe Secondary School,0.7579861,35.1737111,1948.4,2.0,Africa/Nairobi
TA00023,1,Dwa Estate,-2.38855,38.0407667,791.0,2.0,Africa/Nairobi
TA00024,1,Mang'u High School,-1.0717306,37.0455778,1524.7,2.0,Africa/Nairobi
TA00025,1,Kenya Meteorological Department,-1.3018389,36.7602,1801.8,2.0,Africa/Nairobi
TA00026,1,Moi Forces Academy,-0.2871222,36.1699806,1939.9,3.0,Africa/Nairobi
TA00028,1,Three Rivers Academy,0.0552193,37.13674669,2003.6,9.0,Africa/Nairobi
TA00029,1,Karima Girls High School,-0.500775513,36.58751105,2545.8,2.0,Africa/Nairobi
TA00030,1,Ole Tipis Girls Secondary School,-1.0946806,35.8923361,1925.7,2.0,Africa/Nairobi
TA00032,1,Ndejje Senior Secondary School,0.6106,32.4752694,1224.6,2.0,Africa/Nairobi
TA00033,1,Entebbe WME,0.0486111,32.4725,1149.0,2.0,Africa/Nairobi
TA00034,1,Wanyange Girls School,0.4834972,33.2437194,1341.3,2.0,Africa/Nairobi
TA00035,1,Busitema University,0.7569194,34.0461694,1121.0,2.0,Africa/Nairobi
TA00036,1,Kazwama Health Center,1.33223283,32.64999078,1055.4,2.0,Africa/Nairobi
TA00037,1,Mityana Secondary School,0.377506,32.0390447,1249.2,2.0,Africa/Nairobi
TA00039,1,KNUST JHS Kumasi,6.684325605,-1.568850775,269.1,2.0,Africa/Accra
TA00041,1,"Obuasi TSHS, Obuasi",6.1968938,-1.6826491,221.0,2.0,Africa/Accra
TA00042,1,"CRIG, Tafo",6.226061717,-0.362835065,212.5,2.0,Africa/Accra
TA00043,1,"St. Joseph Technical School, Kwahu Tafo",6.654151645,-0.669173368,481.4,2.0,Africa/Accra
TA00044,1,"Mountain High School, Kona, Ashanti Region",6.850902458,-1.515176032,335.6,2.0,Africa/Accra
TA00045,1,"Asesewaa Senior High School, Asesewaa",6.4006263,-0.1465771,372.3,2.0,Africa/Accra
TA00046,1,"Dompoase Senior High School, Dompoase",6.3088422,-1.5297927,255.8,2.0,Africa/Accra
TA00047,1,"Bodwesango Senior High School, Bodwesango",6.283841667,-1.417355556,223.2,2.0,Africa/Accra
TA00049,1,Ofoase Senior HTS,6.396728868,-1.282829655,195.8,2.0,Africa/Accra
TA00050,1,"Bompata Presby SHS, Bompata",6.6256382,-1.059504,231.3,2.0,Africa/Accra
TA00051,1,N'Djamena Airport,12.1385,15.0455833,290.2,2.0,Africa/Ndjamena
TA00052,1,Kin Kin Village,11.568833,15.209333,314.2,2.0,Africa/Ndjamena
TA00054,1,Molo Academy,-0.2393417,35.728897,2514.1,2.0,Africa/Nairobi
TA00055,1,Adams Elementary School,44.550053,-123.289175,71.0,2.0,America/New_York
TA00056,1,Murang'a High School,-0.7216559,37.1455851,1376.0,2.0,Africa/Nairobi
TA00057,1,St. Scholastica Catholic School,-1.253029763,36.85648709,1645.3,2.0,Africa/Nairobi
